RECIPE_OUTPUT_420409,vegetable oil,('vegetable oil', 'tuna vegetable oil', 'miniature almond joy bar', 'light vegetable oil', 'canned pinto bean', 'boneless skinless chicken breast', 'chinese spice powder', 'turkey ham', 'smoked turkey sausage', 'daikon radish')
RECIPE_OUTPUT_202628,dried thyme,('dried thyme', 'dried marjoram', 'guinness stout', 'dried basil', 'dried rosemary', 'dried sage', 'dried oregano', 'dried garlic', 'fryer chicken', 'bay leaf')
RECIPE_OUTPUT_253433,garlic clove,('garlic clove', 'ground cumin', 'fresh basil', 'tahini', 'olive oil', 'stewing beef', 'eggplant', 'flat leaf italian parsley', 'marinated artichoke heart', 'cilantro leaves stem')
RECIPE_OUTPUT_472433,cooked bacon,('cooked bacon', 'chipotle chili sauce', 'white cheese', 'hidden valley ranch dip', 'ranch salad dressing', 'garlic salt', 'v8 vegetable juice', 'cooking onion', 'unbleached bread flour', 'soft cream cheese')
RECIPE_OUTPUT_71886,fresh parsley,('fresh parsley', 'italian stewed tomato', 'cabernet sauvignon wine', 'tiny new potato', 'old english cheese', 'halibut', 'cheese', 'diced onion', 'halibut steak', 'strawberry cream cheese')
RECIPE_OUTPUT_260335,juice,('juice', 'cherry juice', 'apricot juice', 'peach juice', 'maraschino juice', 'low calorie cran raspberry juice', 'pear halves natural juice', 'sliced peaches juice', 'reserved juice', 'reduced calorie cranberry juice cocktail')
RECIPE_OUTPUT_384829,black pepper,('black pepper', 'mccormick black pepper', 'sea salt & fresh black pepper', 'old cheddar cheese', 'elephant garlic', 'coarse black pepper', 'cube steak', 'garlic', 'dried basil', 'chicken breast')
RECIPE_OUTPUT_459408,wheat flour,('wheat flour', 'wheat bran', 'wheat flour tortilla', 'flax seed meal', 'unbleached white flour', 'white flour', 'oat bran', 'applesauce', 'dry active yeast', 'yeast')
RECIPE_OUTPUT_383147,mango,('mango', 'mango liqueur', 'sweet mango', 'mango yogurt', 'mango nectar', 'mango puree', 'mango juice', 'frozen mango chunk', 'honey lime dressing', 'kiwi')
RECIPE_OUTPUT_38216,margarine,('margarine', 'firm margarine', 'soft margarine', 'regular margarine', 'earth balance margarine', 'non hydrogenated margarine', 'low fat margarine', 'becel margarine', 'non hydrogenated vegan margarine', 'gluten free margarine')
RECIPE_OUTPUT_63329,lime wedge,('lime wedge', 'chayote', 'preserved turnip', 'chinese chive', 'banana flower', 'fajita size flour tortilla', 'limeade', 'pomegranate concentrate', 'guajillo chilie', 'multigrain bread')
RECIPE_OUTPUT_285357,swiss cheese,('swiss cheese', 'smoked swiss cheese', 'marbled cheddar swiss cheese', 'laughing cow light swiss cheese', 'baby swiss cheese', 'processed swiss cheese', 'marbled rye bread', 'corned beef', 'sandwich bun', 'head iceberg lettuce')
RECIPE_OUTPUT_375606,lime slice,('lime slice', 'frozen lemonade concentrate', 'lime', '7 soda', 'sugar syrup', 'vanilla vodka', 'lime segment', 'gold tequila', 'goldschlager', 'white rum')
RECIPE_OUTPUT_457589,rosemary,('rosemary', 'ground rosemary', 'simply potatoes rosemary & garlic red potato wedge', 'dried rosemary leave', 'turkey thigh', 'thyme', 'oregano', 'marjoram', 'diced tomatoes basil oregano', 'shark steak')
RECIPE_OUTPUT_223874,shortening,('shortening', 'solid shortening', 'sifted flour', 'vegetable shortening', 'crisco shortening', 'baking soda', 'rhubarb', 'flour', 'baking cocoa', 'sour milk')
RECIPE_OUTPUT_274330,beer,('beer', 'ginger beer', 'dark mexican beer', 'bratwurst', 'wheat beer', 'stout beer', 'pilsner beer', 'root beer concentrate', 'light beer', 'dark beer')
RECIPE_OUTPUT_346572,pecan,('pecan', 'candied pecan', 'dry roasted pecan', 'chocolate dipped pecan', 'planters pecan', 'butter pecan ice cream', 'pecan nut', 'cheesecake mix', 'coconut pecan frosting', 'red hot candy')
RECIPE_OUTPUT_406546,butter,('butter', 'butter flavor extract', 'instant butter pecan pudding mix', 'pam butter cooking spray', 'reese peanut butter cup', 'butter substitute', 'butter cookie', 'butter bud', 'butter flavored cracker crumb', 'peanut butter cup')
RECIPE_OUTPUT_20476,wheat flour,('wheat flour', 'wheat bran', 'wheat flour tortilla', 'flax seed meal', 'unbleached white flour', 'white flour', 'oat bran', 'applesauce', 'dry active yeast', 'yeast')
RECIPE_OUTPUT_28672,beef,('beef', 'barbecued beef', 'lipton beef flavor noodles sauce', 'beef tamale', 'extra lean beef', 'lean beef round', 'boneless beef round', '80 % lean ground beef', 'beef cheek', 'beef tip roast')
RECIPE_OUTPUT_35198,oat,('oat', 'pinhead oat', "cracklin ' oat bran cereal", 'oat bran flour', 'oat bran cereal', 'oat bran', 'oat flour', 'cheerios toasted oat cereal', 'quick cooking rolled oat', 'porridge oat')
RECIPE_OUTPUT_92601,salt,('salt', 'salt substitute', 'salt fresh pepper', 'salt free seasoned dried breadcrumb', 'curing salt', 'salt free lemon pepper', 'salt added black bean', 'low sodium salt', 'salt added tomato puree', 'hickory smoke salt')
RECIPE_OUTPUT_287258,peanut butter,('peanut butter', 'reese peanut butter cup', 'miniature peanut butter cup', 'organic peanut butter', 'sugar added peanut butter', 'skippy creamy peanut butter', 'natural style chunky peanut butter', 'chocolate covered peanut butter cup', 'peanut butter morsel', 'ovaltine')
RECIPE_OUTPUT_57533,butter,('butter', 'butter flavor extract', 'instant butter pecan pudding mix', 'pam butter cooking spray', 'reese peanut butter cup', 'butter substitute', 'butter cookie', 'butter bud', 'butter flavored cracker crumb', 'peanut butter cup')
RECIPE_OUTPUT_54567,granulated sugar,('granulated sugar', 'dark chili powder', 'andes mint baking chip', 'ground almond', 'quaker oat', 'unsweetened baking chocolate', 'semi sweet chocolate chip', 'fresh lemon rind', 'green tea leave', 'unsifted all purpose flour')
RECIPE_OUTPUT_237560,fast rise yeast,('fast rise yeast', 'yeast', 'hot fudge', 'wheat bread flour', 'granulated yeast', 'white bread flour', 'dry milk', 'fast rising active dry yeast', 'nonfat dry milk solid', 'bread flour')
RECIPE_OUTPUT_223411,garlic clove,('garlic clove', 'ground cumin', 'fresh basil', 'tahini', 'olive oil', 'stewing beef', 'eggplant', 'flat leaf italian parsley', 'marinated artichoke heart', 'cilantro leaves stem')
RECIPE_OUTPUT_360159,fresh goat cheese,('fresh goat cheese', 'goat cheese', 'filet mignon steak', 'virgin olive oil', 'herbed goat cheese', 'pomegranate molasse', 'naan bread', 'soft fresh goat cheese', 'reduced fat goat cheese', 'minced garlic clove')
RECIPE_OUTPUT_204210,milk,('milk', 'strawberry milk mix', 'low carb milk', 'hemp milk', 'lactose free milk', 'evaporated 2 % milk', 'nestle sweetened condensed milk', 'cream milk powder', 'carnation instant milk', '2 % milk')
RECIPE_OUTPUT_348814,butter,('butter', 'butter flavor extract', 'instant butter pecan pudding mix', 'pam butter cooking spray', 'reese peanut butter cup', 'butter substitute', 'butter cookie', 'butter bud', 'butter flavored cracker crumb', 'peanut butter cup')
RECIPE_OUTPUT_49719,brown sugar,('brown sugar', 'brown sugar twin', 'brown sugar substitute', 'soft brown sugar', 'golden brown sugar', 'pork beans tomato sauce', 'jack daniels whiskey', 'cinnamon', 'wheat pastry flour', 'rolled oat')
RECIPE_OUTPUT_451744,lemon juice,('lemon juice', 'lemon juice concentrate', 'lemon juice rind', 'bottled lemon juice', 'lemon juice zest', 'light olive oil', 'dill weed', 'cointreau liqueur', 'limeade', 'mustard')
RECIPE_OUTPUT_481225,2 % low fat milk,('2 % low fat milk', 'sugar free non fat vanilla yogurt', 'frozen sliced strawberry', 'fat milk', 'non fat vanilla yogurt', 'frozen unsweetened raspberry', '2 % cheddar cheese', 'artificial sweetener', 'salted peanut', 'low fat milk')
RECIPE_OUTPUT_424477,butter,('butter', 'butter flavor extract', 'instant butter pecan pudding mix', 'pam butter cooking spray', 'reese peanut butter cup', 'butter substitute', 'butter cookie', 'butter bud', 'butter flavored cracker crumb', 'peanut butter cup')
RECIPE_OUTPUT_242884,plum sauce,('plum sauce', 'baby bok choy', 'boneless beef short rib', 'salmon fillet', 'chinese spice powder', 'hoisin sauce', 'soy sauce', 'rump steak', 'boneless skinless salmon fillet', 'boneless salmon fillet')
RECIPE_OUTPUT_355510,lemon,('lemon', 'lemon myrtle', 'lemon grass root', 'ground lemon myrtle', 'dried lemon verbena', 'lemon & herb seasoning', 'dried lemon', 'lemon thyme', 'lemon juice concentrate', 'instant lemon pudding mix')
RECIPE_OUTPUT_484310,garlic,('garlic', 'garlic juice', 'garlic sprout', 'garlic seasoning', 'garlic chive', 'garlic powder parsley', 'garlic bread', 'garlic flake', 'elephant garlic', 'garlic oil')
RECIPE_OUTPUT_360299,diced tomato,('diced tomato', 'diced tomatoes jalapeno', 'diced tomatoes chiles cilantro', 'diced tomatoes basil oregano garlic', 'ro*tel original diced tomatoes & green chilie', 'salt added diced tomato', 'italian style diced tomato', 'diced tomatoes balsamic vinegar basil oil', 'diced tomatoes mild green chilie', 'diced tomatoes green chilie')
RECIPE_OUTPUT_22987,prepared horseradish,('prepared horseradish', 'grain dijon mustard', 'honey dijon mustard', 'beef tongue', 'grain mustard', 'cream sherry', 'mushroom beef gravy', 'stone ground mustard', 'cream tomato soup', 'sweet hot mustard')
RECIPE_OUTPUT_30018,beef bouillon granule,('beef bouillon granule', 'low sodium beef bouillon granule', 'beef bouillon', 'bouillon', 'low sodium beef bouillon cube', 'beef', 'vegetarian ground beef', 'beef bouillon paste', 'gebhardt chili powder', 'beef cap')
RECIPE_OUTPUT_223080,low sodium chicken broth,('low sodium chicken broth', 'fat free low sodium chicken broth', 'low fat margarine', 'bulgur', 'turkey breast', 'bread stuffing mix', 'cooked angel hair pasta', 'white potato', 'fresh green bean', 'frozen baby lima bean')
RECIPE_OUTPUT_392122,ice cream,('ice cream', 'fat free vanilla ice cream', 'sugar free vanilla ice cream', 'ice cream topping', 'mango ice cream', 'ice cream sandwich', 'french vanilla ice cream', 'strawberry ice cream topping', 'low fat coffee ice cream', 'cinnamon ice cream')
RECIPE_OUTPUT_225936,beer,('beer', 'ginger beer', 'dark mexican beer', 'bratwurst', 'wheat beer', 'stout beer', 'pilsner beer', 'root beer concentrate', 'light beer', 'dark beer')
RECIPE_OUTPUT_49568,water,('water', 'white chicken meat packed water', 'tonic water', 'mineral water', 'solid white tuna packed water', 'tap water', 'light chunk tuna water', 'fresh water', 'carbonated water', 'apricots syrup')
RECIPE_OUTPUT_117066,coconut,('coconut', 'light coconut cream', 'angel flake coconut', 'creamed coconut', 'frozen coconut', 'captain morgan parrot bay coconut rum', 'dry coconut powder', 'coconut butter', 'coconut sugar crystal', 'coconut pudding mix')
RECIPE_OUTPUT_8030,onion,('onion', 'durkee onion', 'small onion', 'fresh onion ring', 'red pearl onion', 'simply potatoes diced potatoes onion', 'cocktail onion', 'boiling onion', 'sweet yellow onion', 'pickled onion')
RECIPE_OUTPUT_305422,coconut milk,('coconut milk', 'reduced fat unsweetened coconut milk', 'coconut milk powder', 'thai red curry paste', 'red curry paste', 'frozen coconut milk', 'palm oil', 'reduced fat coconut milk', 'canned unsweetened coconut milk', 'curry leave')
RECIPE_OUTPUT_135135,dried blueberry,('dried blueberry', 'blueberry', 'blueberry sorbet', 'almond butter', 'brazil nut', 'protein powder', 'semi sweet chocolate baking square', 'canned blueberry', 'liquid honey', 'mint liqueur')
RECIPE_OUTPUT_22080,walnut,('walnut', 'chopped maple walnut', 'english walnut', 'black walnut', 'ground walnut', 'dried date', 'candied walnut', 'walnut oil', 'walnut half', 'mixed candied fruit')
RECIPE_OUTPUT_316191,baking soda,('baking soda', 'baking powder', 'mashed banana', 'vanilla', 'unbleached white flour', 'nut', 'shortening', 'wheat flour', 'vanilla powder', 'white sugar')
